Query,SAGE Score,Traditional Score,SAGE Latency,Traditional Latency,Similarity F1
What are the main responsibilities of Alice Johnson?,0,0,2.415924549102783,0.5199406147003174,0.999999995
Summarize the key points from the latest meeting notes,0,0,0.863353967666626,0.45737218856811523,0.999999995
What projects is Bob Smith working on?,0,0,0.984328031539917,0.8134031295776367,0.999999995
What are the deadlines for the current sprint?,0,0,1.049422264099121,0.4436817169189453,0.999999995
Who is responsible for the data analysis task?,0,0,0.9023995399475098,1.0619239807128906,0.999999995
What is the relationship between Carol Williams and David Lee?,0,0,1.6669063568115234,0.4650609493255615,0.999999995
What are the key findings from the latest data analysis?,0,0,1.7039475440979004,0.44947218894958496,0.999999995
When is the next team meeting scheduled?,0,0,0.896714448928833,0.4315917491912842,0.999999995
What are the main challenges mentioned in the project documentation?,0,0,0.9356241226196289,0.4335629940032959,0.999999995
How does the team handle task assignments?,0,0,1.0058672428131104,0.45952701568603516,0.999999995
