Query,SAGE Score,Traditional Score,SAGE Latency,Traditional Latency,Similarity F1
What are the main responsibilities of Alice Johnson?,0,0,2.6712400913238525,0.5922980308532715,0.999999995
Summarize the key points from the latest meeting notes,0,0,1.0098795890808105,0.3969230651855469,0.999999995
What projects is Bob Smith working on?,0,0,0.9379706382751465,0.4539463520050049,0.999999995
What are the deadlines for the current sprint?,0,0,0.8564913272857666,0.39070701599121094,0.999999995
Who is responsible for the data analysis task?,0,0,0.8854255676269531,0.8370776176452637,0.999999995
What is the relationship between Carol Williams and David Lee?,0,0,0.9652924537658691,0.4001460075378418,0.999999995
What are the key findings from the latest data analysis?,0,0,1.2112786769866943,0.37956929206848145,0.999999995
When is the next team meeting scheduled?,0,0,0.8295717239379883,0.39455246925354004,0.999999995
What are the main challenges mentioned in the project documentation?,0,0,1.7484443187713623,0.44675302505493164,0.999999995
How does the team handle task assignments?,0,0,0.9690709114074707,0.8641362190246582,0.999999995
