id,name,type,source
speaker_Grad_E,"Grad E","person","MISeD"
speaker_Professor_B,"Professor B","person","MISeD"
speaker_PhD_F,"PhD F","person","MISeD"
speaker_Grad_G,"Grad G","person","MISeD"
speaker_Postdoc_C,"Postdoc C","person","MISeD"
speaker_PhD_D,"PhD D","person","MISeD"
speaker_Grad_I,"Grad I","person","MISeD"
speaker_PhD_A,"PhD A","person","MISeD"
speaker_PhD_H,"PhD H","person","MISeD"
topic_What,"What","topic","MISeD"
topic_Professor,"Professor","topic","MISeD"
topic_digits,"digits","topic","MISeD"
topic_Did,"Did","topic","MISeD"
topic_microphone,"microphone","topic","MISeD"
topic_lapel,"lapel","topic","MISeD"
topic_Switchboard,"Switchboard","topic","MISeD"
topic_adaptation,"adaptation","topic","MISeD"
topic_speaker,"speaker","topic","MISeD"
topic_Can,"Can","topic","MISeD"
concept_PhD_F_confirmed_that_the_SRI_digit_recognition_system_outperforms_the_HTK-based_system,"PhD F confirmed that the SRI digit recognition system outperforms the HTK-based system","concept","MISeD"
concept_PhD_F_noticed_that_the_SRI_system_performs_worse_when_the_microphone_is_far_from_the_speaker,"PhD F noticed that the SRI system performs worse when the microphone is far from the speaker","concept","MISeD"
concept_PhD_F_proposed_to_improve_the_SRI_system's_performance_in_noisy_conditions_by_adapting_it_using_a_small_amount_of_data_collected_in_the_same_room_where_the_meeting_was_held,"PhD F proposed to improve the SRI system's performance in noisy conditions by adapting it using a small amount of data collected in the same room where the meeting was held","concept","MISeD"
concept_PhD_F_also_proposed_to_run_a_test_to_compare_the_system's_performance_on_TI_digits_to_its_performance_on_Switchboard_data,"PhD F also proposed to run a test to compare the system's performance on TI digits to its performance on Switchboard data","concept","MISeD"
topic_alignment,"alignment","topic","MISeD"
topic_forced_alignment,"forced alignment","topic","MISeD"
concept_PhD_A_suggested_using_a_"proximity_constraint"_to_help_the_forced_alignment_algorithm_determine_which_words_most_likely_correspond_to_each_speaker,"PhD A suggested using a ""proximity constraint"" to help the forced alignment algorithm determine which words most likely correspond to each speaker","concept","MISeD"
concept_They_also_proposed_to_allow_for_"reject_models"_that_could_match_fragments_and_noise,"They also proposed to allow for ""reject models"" that could match fragments and noise","concept","MISeD"
concept_Additionally,_PhD_A_suggested_marking_the_beginning_and_end_of_foreground_speech_by_hand_to_improve_the_accuracy_of_the_alignment,"Additionally, PhD A suggested marking the beginning and end of foreground speech by hand to improve the accuracy of the alignment","concept","MISeD"
