query_id,query,llm_model,embedding_model,sage_score,trad_score,better_system,sage_latency_s,trad_latency_s,similarity_f1,similarity_precision,similarity_recall,rouge1_sage,rouge1_trad,rouge2_sage,rouge2_trad,rougel_sage,rougel_trad,ablation_graph_layer,num_hops,requires_multi_hop,graph_path,graph_path_accuracy,saia_iterations,saia_success,multi_hop,multi_hop_success
1,What are the main responsibilities of Alice Johnson?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,4.185335636138916,1.0105538368225098,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
2,Summarize the key points from the latest meeting notes,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,2.145372152328491,2.062347888946533,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
3,What projects is Bob Smith working on?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,2.3970510959625244,1.0839433670043945,0.55,0.546875,0.75,,,,,,,both,,,,,,,False,False
4,What are the deadlines for the current sprint?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,2.1007285118103027,0.7302756309509277,0.55,0.42105263157894735,0.8,,,,,,,both,,,,,,,False,False
5,Who is responsible for the data analysis task?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,2.3562519550323486,1.3908748626708984,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
6,What is the relationship between Carol Williams and David Lee?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,1.726093053817749,0.7219064235687256,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
7,What are the key findings from the latest data analysis?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,1.3425946235656738,0.8663432598114014,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
8,When is the next team meeting scheduled?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,0.9172272682189941,1.229201316833496,0.55,0.6,0.16,,,,,,,both,,,,,,,False,False
9,What are the main challenges mentioned in the project documentation?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,2.6135952472686768,1.201819896697998,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
10,How does the team handle task assignments?,llama-3.3-70b-versatile,all-mpnet-base-v2,9,7,system1,2.65733003616333,5.801123142242432,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
11,What are the main responsibilities of Alice Johnson?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,9.524789333343506,1.457932710647583,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
12,Summarize the key points from the latest meeting notes,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,11.588892936706543,9.783555030822754,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
13,What projects is Bob Smith working on?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,25.07351279258728,1.2059030532836914,0.55,0.6,0.75,,,,,,,both,,,,,,,False,False
14,What are the deadlines for the current sprint?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,1.5132968425750732,1.0649104118347168,0.55,0.47619047619047616,0.8,,,,,,,both,,,,,,,False,False
15,Who is responsible for the data analysis task?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,1.9964802265167236,1.2402522563934326,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
16,What is the relationship between Carol Williams and David Lee?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,1.5628952980041504,1.0796122550964355,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
17,What are the key findings from the latest data analysis?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,1.6832530498504639,1.1413743495941162,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
