Query,SAGE Score,Traditional Score,SAGE Latency,Traditional Latency,Similarity F1
What are the main responsibilities of Alice Johnson?,8,6.0,4.185335636138916,1.0105538368225098,0.5238095192885488
Summarize the key points from the latest meeting notes,8,7.0,2.145372152328491,2.062347888946533,0.46783625282719477
What projects is Bob Smith working on?,9,6.0,2.3970510959625244,1.0839433670043945,0.30434782185255205
What are the deadlines for the current sprint?,9,7.0,2.1007285118103027,0.7302756309509277,0.28318583802960295
Who is responsible for the data analysis task?,9,8.0,2.3562519550323486,1.3908748626708984,0.387499995378125
What is the relationship between Carol Williams and David Lee?,9,8.0,1.726093053817749,0.7219064235687256,0.6363636313868801
What are the key findings from the latest data analysis?,9,7.0,1.3425946235656738,0.8663432598114014,0.4918032739908628
When is the next team meeting scheduled?,6,9.0,0.9172272682189941,1.229201316833496,0.1882352920415225
What are the main challenges mentioned in the project documentation?,9,6.0,2.6135952472686768,1.201819896697998,0.4363636318045914
How does the team handle task assignments?,9,6.0,2.65733003616333,5.801123142242432,0.4338624295680413
What are the main responsibilities of Alice Johnson?,8,8.0,9.524789333343506,1.457932710647583,0.574999995153125
Summarize the key points from the latest meeting notes,8,6.0,11.588892936706543,9.783555030822754,0.45303866967797085
What projects is Bob Smith working on?,8,9.0,25.07351279258728,1.2059030532836914,0.3926380320403478
What are the deadlines for the current sprint?,9,7.0,1.5132968425750732,1.0649104118347168,0.3037974651241788
Who is responsible for the data analysis task?,9,7.0,1.9964802265167236,1.2402522563934326,0.42307691867603553
What is the relationship between Carol Williams and David Lee?,9,8.0,1.5628952980041504,1.0796122550964355,0.6363636313868801
What are the key findings from the latest data analysis?,9,7.0,1.6832530498504639,1.1413743495941162,0.47999999530752013
When is the next team meeting scheduled?,9,4.0,1.797581672668457,1.1005964279174805,0.36507936014109343
What are the main challenges mentioned in the project documentation?,8,7.0,1.876798391342163,1.3920154571533203,0.542857137939796
How does the team handle task assignments?,9,7.0,3.960798501968384,19.952990770339966,0.3398058206956358
What are the main responsibilities of Alice Johnson?,7,8.0,4.38178563117981,0.6390178203582764,0.4583333291167535
Summarize the key points from the latest meeting notes,8,2.0,1.542309045791626,3.422386407852173,0.3461538412721894
What projects is Bob Smith working on?,9,6.0,4.988767147064209,1.5358390808105469,0.4077669854614008
What are the deadlines for the current sprint?,9,7.0,2.9192771911621094,0.7639515399932861,0.25396825069286977
Who is responsible for the data analysis task?,8,8.5,3.161099433898926,1.4251530170440674,0.33802816529954377
What is the relationship between Carol Williams and David Lee?,6,8.0,1.7101178169250488,0.64300537109375,0.44705881854671287
What are the key findings from the latest data analysis?,9,7.0,4.77901554107666,0.79994797706604,0.4646464596714621
When is the next team meeting scheduled?,9,8.0,3.2377820014953613,0.7375993728637695,0.4848484810238752
What are the main challenges mentioned in the project documentation?,8,6.0,1.6054835319519043,8.802384853363037,0.40251571829437127
How does the team handle task assignments?,8,9.0,7.295982599258423,15.188921451568604,0.3240223413875972
What are the main responsibilities of Alice Johnson?,8,6.0,4.098642587661743,4.28823709487915,0.44444444033580255
Summarize the key points from the latest meeting notes,9,2.0,12.522898197174072,2.6131720542907715,0.3461538412721894
What projects is Bob Smith working on?,8,7.0,2.5201942920684814,0.9992311000823975,0.44274808681545375
What are the deadlines for the current sprint?,8,6.0,2.56056547164917,2.5826680660247803,0.22900763022667678
Who is responsible for the data analysis task?,9,7.0,1.745908260345459,0.7489194869995117,0.33333333030180706
What is the relationship between Carol Williams and David Lee?,7,8.0,1.3606197834014893,0.6140499114990234,0.44705881854671287
What are the key findings from the latest data analysis?,9,6.0,1.345855951309204,0.8041012287139893,0.49635036050295706
When is the next team meeting scheduled?,9,7.0,1.5505759716033936,3.91306471824646,0.5660377314916342
What are the main challenges mentioned in the project documentation?,6,8.0,3.924384355545044,12.056065082550049,0.38372092524945917
How does the team handle task assignments?,8,9.0,6.075503587722778,15.136698722839355,0.3974358924367193
